Species,Group,# Interaction,# Reversals,% Reversals,# States,# State Variants,# State Unique,# Triads,# Linear States,# Non-Linear States,% Linear States,% Non-Linear States,# Linear Interactions,# Non-Linear Interactions,% Linear Interactions,% Non-Linear Interactions,# Interactions / State,# Interactions / Linear State,# Interactions / Non-Linear State
Chicken,1,255,4,1.5686274509803921,10,8,7,1,4,6,40,60,231,24,90.58823529411765,9.411764705882353,25.5,57.75,4.0
Chicken,10,410,6,1.4634146341463414,12,9,8,1,5,7,41.666666666666664,58.333333333333336,269,141,65.60975609756098,34.390243902439025,34.166666666666664,53.8,20.142857142857142
Chicken,11,605,3,0.49586776859504134,9,8,6,0,3,6,33.333333333333336,66.66666666666667,441,164,72.89256198347107,27.107438016528924,67.22222222222223,147,27.333333333333332
Chicken,12,446,0,0,6,6,6,0,1,5,16.666666666666668,83.33333333333333,403,43,90.35874439461884,9.641255605381167,74.33333333333333,403,8.6
Chicken,13,413,2,0.48426150121065376,8,7,7,1,2,6,25,75,160,253,38.7409200968523,61.2590799031477,51.625,80,42.166666666666664
Chicken,14,472,6,1.271186440677966,12,9,7,0,1,11,8.333333333333334,91.66666666666667,212,260,44.91525423728814,55.08474576271186,39.333333333333336,212,23.636363636363637
Chicken,2,1111,7,0.6300630063006301,13,9,7,0,5,8,38.46153846153846,61.53846153846154,654,457,58.86588658865887,41.13411341134113,85.46153846153847,130.8,57.125
Chicken,3,494,6,1.214574898785425,12,9,7,1,5,7,41.666666666666664,58.333333333333336,456,38,92.3076923076923,7.6923076923076925,41.166666666666664,91.2,5.428571428571429
Chicken,4,362,29,8.011049723756907,35,16,11,4,13,22,37.142857142857146,62.857142857142854,311,51,85.91160220994475,14.088397790055248,10.342857142857143,23.923076923076923,2.3181818181818183
Chicken,5,570,31,5.43859649122807,37,15,12,5,3,34,8.108108108108109,91.89189189189189,237,333,41.578947368421055,58.421052631578945,15.405405405405405,79,9.794117647058824
Chicken,6,879,14,1.5927189988623436,20,15,14,5,3,17,15,85,769,110,87.48577929465301,12.514220705346986,43.95,256.3333333333333,6.470588235294118
Chicken,7,383,15,3.91644908616188,21,13,10,10,7,14,33.333333333333336,66.66666666666667,313,70,81.72323759791122,18.276762402088774,18.238095238095237,44.714285714285715,5.0
Chicken,8,533,12,2.25140712945591,18,12,9,2,8,10,44.44444444444444,55.55555555555556,487,46,91.36960600375235,8.630393996247655,29.61111111111111,60.875,4.6
Chicken,9,324,3,0.9259259259259259,9,8,7,0,3,6,33.333333333333336,66.66666666666667,154,170,47.53086419753087,52.46913580246913,36,51.333333333333336,28.333333333333332
Fish,1,3522,125,3.549119818285065,131,33,13,23,99,32,75.57251908396947,24.427480916030536,3438,84,97.61499148211243,2.385008517887564,26.885496183206108,34.72727272727273,2.625
Fish,10,11854,1050,8.857769529272819,1056,35,11,225,824,232,78.03030303030303,21.96969696969697,9981,1873,84.19942635397334,15.800573646026658,11.225378787878787,12.112864077669903,8.073275862068966
Fish,11,4562,210,4.603244191144235,216,31,12,54,152,64,70.37037037037037,29.62962962962963,3769,793,82.61727312582201,17.38272687417799,21.12037037037037,24.79605263157895,12.390625
Fish,12,5456,400,7.331378299120234,406,41,10,80,320,86,78.81773399014779,21.182266009852217,5027,429,92.13709677419355,7.862903225806452,13.438423645320198,15.709375,4.988372093023256
Fish,13,5971,253,4.2371462066655505,259,31,11,46,206,53,79.53667953667954,20.463320463320464,5570,401,93.28420700050243,6.715792999497571,23.054054054054053,27.038834951456312,7.566037735849057
Fish,14,5084,137,2.694728560188828,143,28,10,21,116,27,81.11888111888112,18.88111888111888,4917,167,96.71518489378442,3.284815106215578,35.55244755244755,42.38793103448276,6.185185185185185
Fish,15,8183,814,9.947452034706098,820,27,9,154,661,159,80.60975609756098,19.390243902439025,7219,964,88.21947940852988,11.78052059147012,9.979268292682926,10.921331316187594,6.062893081761007
Fish,16,7797,705,9.041939207387458,711,46,12,162,538,173,75.66807313642757,24.331926863572434,6757,1040,86.66153648839297,13.338463511607028,10.966244725738397,12.559479553903346,6.011560693641618
Fish,17,14070,1041,7.398720682302772,1047,27,10,171,870,177,83.0945558739255,16.9054441260745,12479,1591,88.69225302061123,11.30774697938877,13.43839541547278,14.34367816091954,8.98870056497175
Fish,2,1468,34,2.316076294277929,40,18,11,6,21,19,52.5,47.5,1365,103,92.98365122615805,7.016348773841962,36.7,65,5.421052631578948
Fish,3,5610,201,3.5828877005347595,207,32,9,38,163,44,78.74396135265701,21.256038647342994,5221,389,93.06595365418895,6.934046345811051,27.10144927536232,32.030674846625764,8.840909090909092
Fish,4,10282,410,3.987551060105038,416,34,11,67,338,78,81.25,18.75,9614,668,93.50320949231667,6.49679050768333,24.716346153846153,28.443786982248522,8.564102564102564
Fish,5,3581,266,7.4280927115330915,272,32,10,59,202,70,74.26470588235294,25.735294117647058,3359,222,93.80061435353254,6.1993856464674675,13.165441176470589,16.628712871287128,3.1714285714285713
Fish,6,10190,229,2.2473012757605497,235,59,17,56,161,74,68.51063829787235,31.48936170212766,8267,1923,81.12855740922473,18.87144259077527,43.361702127659576,51.34782608695652,25.986486486486488
Fish,7,9485,227,2.3932525039536108,233,35,13,51,176,57,75.53648068669528,24.463519313304722,8666,819,91.36531365313652,8.634686346863468,40.708154506437765,49.23863636363637,14.368421052631579
Fish,8,2300,53,2.3043478260869565,59,24,11,11,40,19,67.79661016949153,32.20338983050848,2185,115,95,5,38.983050847457626,54.625,6.052631578947368
Fish,9,6351,479,7.5421193512832625,485,33,11,56,418,67,86.18556701030928,13.814432989690722,5667,684,89.23004251299008,10.76995748700992,13.094845360824742,13.557416267942584,10.208955223880597
Mice,1,870,31,3.5632183908045976,37,12,9,11,21,16,56.75675675675676,43.24324324324324,361,509,41.49425287356322,58.50574712643678,23.513513513513512,17.19047619047619,31.8125
Mice,10,350,21,6,27,16,12,8,9,18,33.333333333333336,66.66666666666667,297,53,84.85714285714286,15.142857142857142,12.962962962962964,33,2.9444444444444446
Mice,11,376,74,19.680851063829788,80,38,12,42,28,52,35,65,205,171,54.52127659574468,45.47872340425532,4.7,7.321428571428571,3.2884615384615383
Mice,12,596,48,8.053691275167786,54,16,9,6,37,17,68.51851851851852,31.48148148148148,502,94,84.22818791946308,15.771812080536913,11.037037037037036,13.567567567567568,5.529411764705882
Mice,13,145,13,8.96551724137931,19,13,9,4,7,12,36.8421052631579,63.1578947368421,90,55,62.06896551724138,37.93103448275862,7.631578947368421,12.857142857142858,4.583333333333333
Mice,14,245,49,20,55,29,18,5,10,45,18.181818181818183,81.81818181818181,82,163,33.46938775510204,66.53061224489795,4.454545454545454,8.2,3.6222222222222222
